ACEGUA;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0
AGUA SANTA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
AGUDO;1;0;0;0;19;1;0;1;0;3;0;3;1;0;0;0
AJURICABA;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
ALECRIM;1;0;0;0;2;1;0;1;0;3;0;0;0;0;0;0
ALEGRETE;1;1;1;0;96;8;3;5;0;61;3;5;6;0;0;1
ALEGRIA;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALPESTRE;1;0;0;0;5;3;0;0;0;1;0;0;0;0;0;0
ALTO ALEGRE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;1;0;0;0;3;0;0;0;0;3;1;0;0;0;0;0
ALVORADA;1;5;6;0;142;2;30;146;15;120;15;15;34;0;0;6
AMARAL FERRADOR;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;1;0;0;0;2;0;1;0;0;5;0;2;1;0;0;0
ANDRE DA ROCHA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ANTA GORDA;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
ANTONIO PRADO;1;0;0;0;3;0;0;0;0;7;0;2;1;0;0;1
ARAMBARE;1;0;0;0;5;1;1;0;1;4;0;3;1;0;0;0
ARARICA;1;1;1;0;6;0;0;0;0;9;0;1;0;0;0;1
ARATIBA;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
ARROIO DO MEIO;1;0;0;0;9;0;0;2;0;12;0;1;2;0;0;0
ARROIO DO PADRE;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO SAL;1;0;0;0;40;0;4;1;0;17;0;5;8;0;0;0
ARROIO DO TIGRE;1;0;0;0;4;0;1;0;0;4;0;0;2;0;0;0
ARROIO DOS RATOS;1;0;0;0;7;0;0;0;0;7;0;4;1;0;0;0
ARROIO GRANDE;1;0;0;0;13;2;1;1;0;5;1;4;2;0;0;0
ARVOREZINHA;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
AUGUSTO PESTANA;1;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0
AUREA;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
BAGE;1;0;0;0;135;3;3;18;1;81;6;10;16;0;0;0
BALNEARIO PINHAL;1;1;1;0;36;0;1;7;0;19;2;1;1;0;0;1
BARAO;1;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0
BARAO DE COTEGIPE;1;0;0;0;1;0;0;0;0;2;0;1;0;0;0;1
BARAO DO TRIUNFO;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0
BARRA DO GUARITA;1;0;0;0;2;0;1;0;0;2;3;0;0;0;0;0
BARRA DO QUARAI;1;0;0;0;1;0;0;0;0;6;0;4;1;0;0;0
BARRA DO RIBEIRO;1;0;0;0;5;1;0;2;0;11;0;3;2;0;0;0
BARRA DO RIO AZUL;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
BARRA FUNDA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRACAO;1;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
BARROS CASSAL;1;0;0;0;9;0;0;0;0;0;0;1;0;0;0;0
